2026-05-03 16:17:53 | 113.81.49.9 | 15 | 林忆莲 - 至少还有你 | ahtgf4mon5ddrl
2026-05-03 16:18:12 | 113.81.49.9 | 6 | Dizzy Dizzo (蔡诗芸) - 雨过后的风景 | ahtgf4mon5ddrl
2026-05-03 16:18:29 | 113.81.49.9 | 45 | 方大同 - 春风吹 | ahtgf4mon5ddrl
2026-05-03 16:23:33 | 203.132.57.54 | 46 | 徐良 - 坏女孩 | krvgnqmomuj732
2026-05-03 16:23:39 | 203.132.57.54 | 14 | 洪辰 - 我乘着风飞过来 | krvgnqmomuj732
2026-05-03 16:23:49 | 203.132.57.54 | 49 | 许嵩 - 有何不可 | krvgnqmomuj732
2026-05-03 16:24:16 | 203.132.62.189 | 31 | Ty. - 高，还没富，但帅 | 65r0l4monu08th
2026-05-03 16:25:15 | 183.30.127.165 | 6 | Dizzy Dizzo (蔡诗芸) - 雨过后的风景 | lq9vk1mon114ji
2026-05-03 16:25:17 | 183.30.127.165 | 15 | 林忆莲 - 至少还有你 | lq9vk1mon114ji
2026-05-03 16:25:25 | 183.30.127.165 | 49 | 许嵩 - 有何不可 | lq9vk1mon114ji
2026-05-03 16:25:34 | 183.30.127.165 | 44 | G.E.M.邓紫棋 - 差不多姑娘 | lq9vk1mon114ji
2026-05-03 16:25:36 | 183.30.127.165 | 46 | 徐良 - 坏女孩 | lq9vk1mon114ji
2026-05-03 16:27:08 | 119.132.170.25 | 46 | 徐良 - 坏女孩 | is7hkrmon0yqnb
2026-05-03 16:27:19 | 119.132.170.25 | 30 | Whitney Houston - Call You Tonight | is7hkrmon0yqnb
2026-05-03 16:27:31 | 119.132.170.25 | 29 | Ailee - I NEED YOU | is7hkrmon0yqnb
2026-05-03 16:27:44 | 119.132.170.25 | 18 | Cafuné - Tek It | is7hkrmon0yqnb
2026-05-03 16:28:02 | 119.132.170.25 | 6 | Dizzy Dizzo (蔡诗芸) - 雨过后的风景 | is7hkrmon0yqnb
2026-05-03 16:29:38 | 111.55.209.163 | 46 | 徐良 - 坏女孩 | 1njii8monmz7s7
2026-05-03 16:29:52 | 111.55.209.163 | 45 | 方大同 - 春风吹 | 1njii8monmz7s7
2026-05-03 16:30:01 | 203.132.62.189 | 46 | 徐良 - 坏女孩 | 65r0l4monu08th
2026-05-03 16:30:33 | 223.74.193.78 | 25 | Trouble Maker - Trouble Maker | 6e7nyzmopzkmp7
2026-05-03 16:30:35 | 111.55.209.163 | 31 | Ty. - 高，还没富，但帅 | 1njii8monmz7s7
2026-05-03 16:30:51 | 223.74.193.78 | 20 | Justin Bieber - Peaches | 6e7nyzmopzkmp7
2026-05-03 16:31:19 | 203.132.62.189 | 25 | Trouble Maker - Trouble Maker | 65r0l4monu08th
2026-05-03 16:31:32 | 203.132.62.189 | 20 | Justin Bieber - Peaches | 65r0l4monu08th
2026-05-03 16:32:04 | 203.132.62.189 | 15 | 林忆莲 - 至少还有你 | 65r0l4monu08th
2026-05-03 16:32:07 | 223.74.193.78 | 19 | 宇多田ヒカル - Come Back To Me | 6e7nyzmopzkmp7
2026-05-03 16:32:25 | 203.132.59.213 | 6 | Dizzy Dizzo (蔡诗芸) - 雨过后的风景 | 1njii8monmz7s7
2026-05-03 16:32:31 | 223.74.193.78 | 6 | Dizzy Dizzo (蔡诗芸) - 雨过后的风景 | 6e7nyzmopzkmp7
2026-05-03 16:33:05 | 223.74.193.78 | 46 | 徐良 - 坏女孩 | 6e7nyzmopzkmp7
2026-05-03 16:35:48 | 203.132.59.213 | 20 | Justin Bieber - Peaches | 1njii8monmz7s7
